Игрок,Команда,AB,H,BA
Adames W.,TAM,17,3,"0,176470588235294"
Arozarena R.,TAM,18,6,"0,333333333333333"
Barnes A.,LAD,10,1,"0,1"
Bellinger C.,LAD,19,3,"0,157894736842105"
Betts M.,LAD,22,5,"0,227272727272727"
Brosseau M.,TAM,5,2,"0,4"
Choi Ji-Man,TAM,7,1,"0,142857142857143"
Diaz Y.,TAM,11,4,"0,363636363636364"
Hernandez E.,LAD,9,2,"0,222222222222222"
Kiermaier K.,TAM,16,6,"0,375"
Lowe B.,TAM,21,3,"0,142857142857143"
Margot M.,TAM,15,6,"0,4"
Meadows A.,TAM,13,2,"0,153846153846154"
Muncy M.,LAD,18,7,"0,388888888888889"
Pederson J.,LAD,10,4,"0,4"
Phillips B.,TAM,1,1,1
Pollock A.,LAD,4,1,"0,25"
Rios E.,LAD,2,0,0
Seager C.,LAD,17,8,"0,470588235294118"
Taylor C.,LAD,20,4,"0,2"
Turner J.,LAD,22,8,"0,363636363636364"
Smit U.,LAD,21,3,"0,142857142857143"
Renfroe H.,TAM,7,1,"0,142857142857143"
Wendle J.,TAM,15,2,"0,133333333333333"
Zunino M.,TAM,13,0,0
Tsutsugo Y.,TAM,3,0,0
