Игрок,Команда,AB,H,BA,Комментарий
Turner J.,LAD,22,8,"0,363636363636364","Лучший AB, один из лучших BA"
Betts M.,LAD,22,5,"0,227272727272727","Лучший AB, высокий BA"
Seager C.,LAD,17,8,"0,470588235294118","Высокий AB, лучший BA"
Muncy M.,LAD,18,7,"0,388888888888889","Высокий AB, один из лучших BA"
Taylor C.,LAD,20,4,"0,2","Высокий AB, неплохой BA"
Smit U.,LAD,21,3,"0,142857142857143","Высокий AB, неплохой BA"
Bellinger C.,LAD,19,3,"0,157894736842105","Высокий AB, неплохой BA"
Pederson J.,LAD,10,4,"0,4","Средний AB, высокий BA"
Hernandez E.,LAD,9,2,"0,222222222222222",Средние показатели
Barnes A.,LAD,10,1,"0,1",Средние показатели
Pollock A.,LAD,4,1,"0,25","Низкий AB, неплохой BA"
Rios E.,LAD,2,0,0,Всего лишь 2 подхода к бите
