Игрок,Команда,AB,H,BA
Adames W.,TAM,4,1,.167
Arozarena R.,TAM,3,1,.167
Barnes A.,LAD,1,0,.000
Bellinger C.,LAD,3,0,.143
Betts M.,LAD,3,0,.286
Brosseau M.,TAM,2,0,.333
Choi Ji-Man,TAM,3,1,.333
Diaz Y.,TAM,1,1,.400
Hernandez E.,LAD,1,0,.333
Kiermaier K.,TAM,4,0,.286
Lowe B.,TAM,5,2,.222
Margot M.,TAM,3,2,.429
Meadows A.,TAM,3,1,.200
Muncy M.,LAD,3,0,.286
Pederson J.,LAD,1,0,.000
Phillips B.,TAM,0,0,.000
Pollock A.,LAD,2,0,.000
Renfroe H.,TAM,0,0,.000
Rios E.,LAD,2,0,.000
Seager C.,LAD,4,2,.333
Taylor C.,LAD,4,1,.429
Turner J.,LAD,4,1,.250
Wendle J.,TAM,3,1,.286
Zunino M.,TAM,4,0,.000
Smit U.,LAD,4,1,.222
